id,Type,Region,lonlat,refs,tags.barrier,tags.building,tags.building:levels,tags.name,tags.operator,tags.power,tags.source,tags.substation,tags.voltage,other_tags
602950755,node,RO,"[[27.545398099999975, 47.19806630000019]]",,,,,,,substation,,,,
643761879,node,RO,"[[26.162434999999956, 44.41160520000015]]",,,,,,,substation,,,,
885615466,node,RO,"[[26.161886899999946, 44.414393700000105]]",,,,,,,substation,,,,"{""tags.addr:street"": ""Strada Firidei"", ""tags.source:addr:housenumber"": ""survey"", ""tags.addr:city"": ""București"", ""tags.addr:housenumber"": ""4"", ""tags.office"": ""estate_agent""}"
926230568,node,RO,"[[26.144413599999982, 44.41475670000001]]",,,,,,,substation,,,,
1211026030,node,RO,"[[26.029348800000033, 44.41445500000004]]",,,,,,,substation,,,,
1265696597,node,RO,"[[21.250097999999912, 45.75548690000006]]",,,,,,,substation,,,,
1304843809,node,RO,"[[27.60046440000014, 47.39180700000012]]",,,,,,,substation,,,,
1312715839,node,RO,"[[27.29340399999995, 47.75555570000015]]",,,,,,,substation,,,,
1495075407,node,RO,"[[24.906585499999977, 44.834888799999945]]",,,,,,,substation,,,,
1495075839,node,RO,"[[24.911022599999978, 44.83031159999995]]",,,,,,,substation,,,,
1508410583,node,RO,"[[24.835788599999933, 44.89048779999997]]",,,,,,,substation,,,,
1728990199,node,RO,"[[26.506144900000038, 44.88861350000007]]",,,,,,,substation,,,,
1895082895,node,RO,"[[25.447243499999942, 45.703095200000504]]",,,,,,,substation,,,,
1911366908,node,RO,"[[24.479360899999996, 47.125721300000066]]",,,,,,,substation,,,,
2028715891,node,RO,"[[23.361876400000064, 43.91396440000008]]",,,,,,,substation,,,,
2089922273,node,RO,"[[23.35435750000005, 46.76691299999997]]",,,,,,,substation,,,,
2094553923,node,RO,"[[23.793860699999993, 45.88722559999982]]",,,,,,,substation,,,,
2179845750,node,RO,"[[27.6052493999999, 47.1198329000004]]",,,,,,,substation,,,,"{""tags.designation"": ""Transformer""}"
2362645724,node,RO,"[[28.639789099999987, 43.958756100000286]]",,,,,,,substation,,,,"{""tags.designation"": ""PTA 265""}"
2587261932,node,RO,"[[26.34647459999995, 44.1396742000002]]",,,,,,,substation,Sursa de alimentare,,,
