NUTS_ID,cloud_mean,cloud_m01,cloud_m02,cloud_m03,cloud_m04,cloud_m05,cloud_m06,cloud_m07,cloud_m08,cloud_m09,cloud_m10,cloud_m11,cloud_m12
AL,0.5134093734021816,0.6422833303610483,0.5893333305915197,0.6274833281834921,0.562650000055631,0.6197124943137169,0.38588750548660755,0.18963749706745148,0.3404249995946884,0.48407498747110367,0.47286250814795494,0.63688750192523,0.6096749976277351
AL0,0.5134093734021816,0.6422833303610483,0.5893333305915197,0.6274833281834921,0.562650000055631,0.6197124943137169,0.38588750548660755,0.18963749706745148,0.3404249995946884,0.48407498747110367,0.47286250814795494,0.63688750192523,0.6096749976277351
AL03,0.5134093734021816,0.6422833303610483,0.5893333305915197,0.6274833281834921,0.562650000055631,0.6197124943137169,0.38588750548660755,0.18963749706745148,0.3404249995946884,0.48407498747110367,0.47286250814795494,0.63688750192523,0.6096749976277351
AL034,0.5327402768242689,0.6754333178202311,0.6149333318074545,0.6642000079154968,0.6056666771570841,0.6666999906301498,0.40037500485777855,0.16692499816417694,0.34009999781847,0.5017749890685081,0.47502501308918,0.6538500040769577,0.6278999894857407
AL035,0.49407846998009414,0.6091333429018656,0.563733329375585,0.5907666484514872,0.5196333229541779,0.5727249979972839,0.37140000611543655,0.212349995970726,0.34075000137090683,0.4663749858736992,0.4707000032067299,0.6199249997735023,0.5914500057697296
AT,0.7233873847009683,0.7745305564668444,0.7574666622612211,0.7532972246408463,0.7468166732125813,0.7637770809233189,0.6554416678845882,0.6899625000854333,0.6115479171276093,0.6469729163994391,0.7396041676402092,0.761472916851441,0.7797583329180876
AT1,0.7006576406872935,0.8037888937526279,0.7331222163306341,0.6918333305252923,0.7063222395049201,0.703125,0.6176249980926514,0.6352333376804987,0.5980916644136111,0.6051166752974192,0.7364916652441025,0.7562666634718577,0.8208750039339066
AT11,0.6895861168288523,0.7645666797955831,0.7215666572252909,0.6853000124295553,0.692900021870931,0.7065000087022781,0.6179749965667725,0.6141000092029572,0.5976250022649765,0.6084999963641167,0.7476999908685684,0.7324000000953674,0.7859000265598297
AT111,0.6895861168288523,0.7645666797955831,0.7215666572252909,0.6853000124295553,0.692900021870931,0.7065000087022781,0.6179749965667725,0.6141000092029572,0.5976250022649765,0.6084999963641167,0.7476999908685684,0.7324000000953674,0.7859000265598297
AT12,0.7061934026165141,0.8234000007311503,0.7388999958833059,0.6950999895731608,0.7130333483219147,0.7014374956488609,0.6174499988555908,0.6458000019192696,0.5983249954879284,0.6034250147640705,0.7308875024318695,0.7681999951601028,0.838362492620945
AT124,0.7160347213761674,0.8241333365440369,0.7528333266576132,0.7193333307902018,0.7229666908582052,0.7112499922513962,0.6353999972343445,0.659649983048439,0.6072999909520149,0.6135750114917755,0.7340250015258789,0.7796750068664551,0.8322749882936478
