NUTS_ID,n_points,Ey_mean_kWh_per_kWp
RO413,6,1289.435
RO414,6,1306.155
RO415,6,1276.195
RO421,6,1222.625
RO422,6,1162.43
RO423,6,1170.7
RO424,6,1244.2450000000001
RO111,6,1221.6833333333334
RO112,6,1163.32
RO113,6,1156.0116666666665
RO114,6,1095.4683333333335
RO115,6,1166.935
RO116,6,1190.3433333333332
RO121,6,1199.9866666666667
RO122,6,1172.2299999999998
RO123,6,1200.8366666666668
RO124,6,1166.825
RO125,6,1223.6966666666667
RO126,6,1195.6616666666666
RO211,6,1177.6383333333335
RO212,6,1174.9933333333333
RO213,6,1204.32
RO214,6,1186.0266666666666
RO215,6,1070.7816666666665
RO216,6,1230.665
RO221,6,1302.9566666666667
RO222,6,1282.9616666666666
RO223,6,1317.7916666666667
RO224,6,1258.635
RO225,6,1319.7266666666667
RO226,6,1244.8183333333334
RO311,6,1152.1733333333334
RO312,6,1292.7616666666668
RO313,6,1264.845
RO314,6,1302.2416666666668
RO315,6,1296.4433333333334
RO316,6,1244.5266666666669
RO317,6,1293.49
RO321,6,1300.4516666666666
RO322,6,1287.3950000000002
RO411,6,1306.2783333333334
RO412,6,1213.6783333333333
