county_id,county_name,available_ha,requested_xpv_ha,effective_ha_used,missing_ha_to_fit,land_ok,grid_ok,eligible,nearest_substation_km,substations_within_radius,lat,lon,pvgis_Ey_kWh_per_kWp,sat_corrected_Ey_kWh_per_kWp,surrogate_Ey_kWh_per_kWp,Ey_used_kWh_per_kWp,panel_kWp,n_panels_used,annual_energy_kWh,cloud_mean,albedo_mean,error
RO413,Mehedinţi,276647.0,60.0,60.0,0.0,True,False,False,15.046653137828246,28,44.58488983192977,22.968886174507244,1299.56,1299.3841066741447,1286.801255898535,1286.801255898535,0.45,122448,70904808.0820187,,0.0794340814557914,
RO414,Olt,436624.0,60.0,60.0,0.0,True,True,True,3.735401929072696,15,44.263434719148016,24.45267891516608,1308.56,1404.5548766165577,1309.390994236449,1309.390994236449,0.45,122448,72149538.80801912,0.6058263865609964,0.0893753855815903,
RO415,Vâlcea,183537.0,60.0,60.0,0.0,True,True,True,9.57587747292663,7,45.05437514454983,24.160026985138913,1267.49,1176.9507816789983,1230.022899260241,1230.022899260241,0.45,122448,67776229.78587809,0.6679263930353855,0.072097360220422,
RO421,Arad,465881.0,60.0,60.0,0.0,True,False,False,11.813627665782796,2,46.293621166548164,21.830655659039216,1220.49,1285.287778554586,1210.6508751428555,1210.6508751428555,0.45,122448,66708800.26177157,0.6257881929890977,0.0773150098910159,
RO422,Caraş-Severin,283126.0,60.0,60.0,0.0,True,True,True,9.385020273316124,11,45.15710987633689,22.075848700853015,1102.82,1033.594235575119,1076.1243366328533,1076.1243366328533,0.45,122448,59296172.74740884,0.6619930546730757,0.0711333537071611,
RO423,Hunedoara,245013.0,60.0,60.0,0.0,True,True,True,0.9651292003753154,23,45.774433373062685,22.92150753702904,1224.5,1123.8093467730253,1170.6297301805444,1170.6297301805444,0.45,122448,64503571.14051628,0.6714437463217312,0.0668412145773118,
RO424,Timiş,672218.0,60.0,60.0,0.0,True,True,True,10.41730302378634,28,45.63649410185776,21.42522779495032,1245.77,1305.1303862603454,1243.2701724823598,1243.2701724823598,0.45,122448,68506175.736054,0.6272222232073545,0.0823634127912806,
RO111,Bihor,444810.0,60.0,60.0,0.0,True,True,True,7.360256741867454,20,47.00785314760839,22.19271323735415,1215.8,1142.1453592395585,1212.215074179584,1212.215074179584,0.45,122448,66794990.13141377,0.6633083329846462,0.0802089978363883,
RO112,Bistriţa-Năsăud,265596.0,60.0,60.0,0.0,True,True,True,6.7467368190203185,6,47.200940266548216,24.484396947926246,1183.9,1000.1392520736143,1155.297882277093,1155.297882277093,0.45,122448,63658761.790079474,0.7063993060340484,0.0809513550894157,
RO113,Cluj,385970.0,60.0,60.0,0.0,True,True,True,3.1771187899995965,26,46.88713709110212,23.786312702126995,1215.47,1120.3183427538393,1174.6119640943148,1174.6119640943148,0.45,122448,64722998.60073929,0.6688437478409872,0.0758947890530714,
RO114,Maramureş,244424.0,60.0,60.0,0.0,True,True,True,5.625022059814378,7,47.66597319440133,23.97146197446687,1047.27,958.7447437843806,1021.171001919967,1021.171001919967,0.45,122448,56268156.07939326,0.6806395856870545,0.0818381133632215,
RO115,Satu Mare,314145.0,60.0,60.0,0.0,True,True,True,2.3072494240997776,13,47.727727354204504,22.901644989208094,1206.59,1197.2772971499921,1183.1482450570645,1183.1482450570645,0.45,122448,65193361.33983635,0.6502597185058726,0.083936996242367,
RO116,Sălaj,216220.0,60.0,60.0,0.0,True,True,True,2.976611091649519,6,47.17522089157156,23.01090707077907,1179.78,1179.3836962507096,1161.0610042851533,1161.0610042851533,0.45,122448,63976319.03371881,,0.0756889646999703,
RO121,Alba,331272.0,60.0,60.0,0.0,True,True,True,4.312626872803396,7,45.991697208592754,23.53910536724454,1256.06,1255.4639094814765,1208.0559151384052,1208.0559151384052,0.45,122448,66565813.813590355,,0.0739455676578285,
